statistic_yyy,district_code,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_graduated_f,edu_doctor_ungraduated_m,edu_doctor_ungraduated_f,edu_master_graduated_m,edu_master_graduated_f,edu_master_ungraduated_m,edu_master_ungraduated_f,edu_university_graduated_m,edu_university_graduated_f,edu_university_ungraduated_m,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_senior_graduated_m,edu_senior_graduated_f,edu_senior_ungraduated_m,edu_senior_ungraduated_f,edu_seniorvocational_graduated_m,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_m,edu_seniorvocational_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_junior_graduated_m,edu_junior_graduated_f,edu_junior_ungraduated_m,edu_junior_ungraduated_f,edu_juniorvocational_graduated_m,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_m,edu_juniorvocational_ungraduated_f,edu_primary_graduated_m,edu_primary_graduated_f,edu_primary_ungraduated_m,edu_primary_ungraduated_f,edu_selftaughtl_m,edu_selftaughtl_f,edu_illiterate_m,edu_illiterate_f
統計年,區域別代碼,區域別,村里名稱,總計,博畢_男,博畢_女,博肄_男,博肄_女,碩畢_男,碩畢_女,碩肄_男,碩肄_女,大畢_男,大畢_女,大肄_男,大肄_女,二畢_男,二畢_女,二肄_男,二肄_女,後二畢_男,後二畢_女,後二肄_男,後二肄_女,高畢_男,高畢_女,高肄_男,高肄_女,職畢_男,職畢_女,職肄_男,職肄_女,前三肄_男,前三肄_女,國畢_男,國畢_女,國肄_男,國肄_女,初畢_男,初畢_女,初肄_男,初肄_女,小畢_男,小畢_女,小肄_男,小肄_女,自修_男,自修_女,不識_男,不識_女
108,65000140016,新北市蘆洲區,永樂里,5688,2,2,4,2,121,62,38,27,535,638,285,226,150,160,36,35,111,131,8,5,205,180,98,72,464,481,162,100,7,18,405,428,29,25,1,1,1,0,145,214,16,29,1,5,2,21
108,65000140017,新北市蘆洲區,永康里,6209,8,1,6,5,122,71,41,29,563,657,258,240,157,201,57,38,104,135,11,5,217,208,101,93,478,600,204,131,10,23,421,475,33,40,3,3,0,0,133,237,12,35,1,8,7,27
108,65000140018,新北市蘆洲區,信義里,3688,4,1,7,0,71,44,18,21,347,383,130,98,77,95,31,17,65,55,8,7,113,120,49,48,280,290,109,65,3,8,315,363,17,17,4,3,0,0,144,198,10,19,1,6,1,26
108,65000140019,新北市蘆洲區,玉清里,5352,9,5,3,3,146,82,43,34,451,588,212,214,126,196,33,21,127,99,12,8,199,176,112,78,412,445,135,103,7,7,345,396,41,31,1,1,1,0,131,244,10,29,0,6,4,26
108,65000140020,新北市蘆洲區,復興里,3289,1,2,1,2,54,26,19,18,262,299,117,108,79,85,25,21,56,45,2,1,132,115,56,63,270,265,115,74,8,11,273,270,28,17,2,0,0,0,129,188,5,20,1,2,3,19
108,65000140021,新北市蘆洲區,水河里,8707,7,1,6,10,159,90,56,38,746,916,391,323,224,266,69,56,160,152,19,10,275,276,163,109,719,773,255,183,19,27,584,667,66,46,2,3,1,1,268,451,28,42,1,9,9,31
108,65000140022,新北市蘆洲區,仁愛里,4897,6,5,6,0,121,66,43,28,470,537,197,192,90,139,32,25,95,71,7,6,159,158,81,65,375,414,138,84,7,18,321,374,34,34,2,0,0,2,190,241,10,19,0,6,1,28
108,65000140023,新北市蘆洲區,忠義里,2983,2,1,3,1,49,27,19,12,267,303,121,79,63,95,42,33,59,56,4,6,102,114,50,31,233,268,91,67,5,12,192,245,27,31,1,0,0,0,87,141,5,17,0,2,1,19
108,65000140024,新北市蘆洲區,九芎里,5049,4,0,4,2,95,42,41,16,442,523,228,190,119,145,32,21,93,88,4,5,172,168,83,72,398,434,159,104,8,15,388,443,28,23,2,2,0,0,146,242,10,32,3,3,2,18
108,65000140025,新北市蘆洲區,中華里,3003,4,3,2,0,54,32,22,12,273,342,111,98,62,85,18,21,56,47,4,1,89,106,47,32,257,225,83,58,1,7,199,244,15,18,3,3,0,2,134,183,6,19,1,4,1,19
